Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	
positive regulation of stress-activated MAPK cascade (GO:0032874)	1/99	0.304345266	0.363954291	0	0	2.810232426	3.343031357	HMGB1	
epithelial cell differentiation (GO:0030855)	1/101	0.309439568	0.368871612	0	0	2.75375	3.230127998	TAGLN2	
positive regulation of protein localization to membrane (GO:1905477)	1/101	0.309439568	0.368871612	0	0	2.75375	3.230127998	PDCD5	
positive regulation of cellular protein metabolic process (GO:0032270)	1/102	0.311972903	0.368963228	0	0	2.726347635	3.175755905	HNRNPD	
intrinsic apoptotic signaling pathway (GO:0097193)	1/102	0.311972903	0.368963228	0	0	2.726347635	3.175755905	DDX5	
mitotic sister chromatid segregation (GO:0000070)	1/102	0.311972903	0.368963228	0	0	2.726347635	3.175755905	RAN	
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	1/102	0.311972903	0.368963228	0	0	2.726347635	3.175755905	USP5	
regulation of protein catabolic process (GO:0042176)	1/102	0.311972903	0.368963228	0	0	2.726347635	3.175755905	GFAP	
regulation of insulin secretion (GO:0050796)	1/104	0.317012105	0.374333476	0	0	2.673139159	3.070943219	STX1A	
protein polyubiquitination (GO:0000209)	2/314	0.318313175	0.375279741	0	0	1.77094619	2.02723673	PSMA1;UBE2G1	
regulation of JNK cascade (GO:0046328)	1/105	0.319518038	0.37610979	0	0	2.64730235	3.02041725	HMGB1	
regulation of cell cycle process (GO:0010564)	1/106	0.322014901	0.377864361	0	0	2.621957672	2.971090889	YTHDF2	
peptidyl-lysine modification (GO:0018205)	1/106	0.322014901	0.377864361	0	0	2.621957672	2.971090889	STX1A	
response to calcium ion (GO:0051592)	1/107	0.324502728	0.380189624	0	0	2.597091195	2.922925724	CPNE1	
DNA replication (GO:0006260)	1/108	0.326981551	0.38249711	0	0	2.572689512	2.875884903	MCM6	
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	2/321	0.327705343	0.382747609	0	0	1.731467173	1.931694761	PSMA1;UBE2G1	
modulation of chemical synaptic transmission (GO:0050804)	1/109	0.329451402	0.384189445	0	0	2.548739712	2.829933058	CLSTN1	
cellular response to oxygen-containing compound (GO:1901701)	2/323	0.330383058	0.384678568	0	0	1.720503708	1.905462187	RUVBL2;HMGB1	
regulation of interleukin-6 production (GO:0032675)	1/110	0.331912312	0.385860908	0	0	2.525229358	2.785036231	HMGB1	
Fc-epsilon receptor signaling pathway (GO:0038095)	1/111	0.334364314	0.388110664	0	0	2.502146465	2.741161804	PSMA1	
Fc receptor signaling pathway (GO:0038093)	1/112	0.33680744	0.39034319	0	0	2.479479479	2.698278438	PSMA1	
sulfur compound biosynthetic process (GO:0044272)	1/113	0.33924172	0.392558601	0	0	2.457217262	2.656356012	CSPG4	
negative regulation of cellular process (GO:0048523)	3/566	0.34141175	0.393546102	0	0	1.474042121	1.584103029	PDCD5;LMNA;KNG1	
histone modification (GO:0016570)	1/114	0.341667188	0.393546102	0	0	2.435349066	2.615365564	RUVBL2	
cellular response to transforming growth factor beta stimulus (GO:0071560)	1/114	0.341667188	0.393546102	0	0	2.435349066	2.615365564	PDCD5	
cellular response to lectin (GO:1990858)	1/115	0.344083874	0.394514487	0	0	2.413864522	2.575279237	PSMA1	
cellular response to molecule of bacterial origin (GO:0071219)	1/115	0.344083874	0.394514487	0	0	2.413864522	2.575279237	HMGB1	
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	1/115	0.344083874	0.394514487	0	0	2.413864522	2.575279237	PSMA1	
regulation of protein-containing complex assembly (GO:0043254)	1/116	0.346491809	0.396669739	0	0	2.392753623	2.536070231	GFAP	
regulation of protein binding (GO:0043393)	1/118	0.351281554	0.401541015	0	0	2.351614435	2.460181957	RAN	
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	1/119	0.353663425	0.403649289	0	0	2.331567797	2.423453936	PSMA1	
cellular response to lipopolysaccharide (GO:0071222)	1/120	0.356036671	0.405741335	0	0	2.311858077	2.387505647	HMGB1	
post-translational protein modification (GO:0043687)	2/345	0.359634819	0.409220832	0	0	1.608343941	1.644798911	PSMA1;KNG1	
epithelium development (GO:0060429)	1/122	0.360757406	0.409877174	0	0	2.273415978	2.317860241	TAGLN2	
regulation of anatomical structure morphogenesis (GO:0022603)	1/123	0.363104958	0.411299884	0	0	2.254667577	2.284121082	CFL1	
cellular response to organic substance (GO:0071310)	1/123	0.363104958	0.411299884	0	0	2.254667577	2.284121082	KHSRP	
regulation of tumor necrosis factor production (GO:0032680)	1/124	0.365444006	0.412704434	0	0	2.236224029	2.2510775	HMGB1	
non-canonical Wnt signaling pathway (GO:0035567)	1/124	0.365444006	0.412704434	0	0	2.236224029	2.2510775	PSMA1	
regulation of protein secretion (GO:0050708)	1/125	0.367774581	0.414712778	0	0	2.218077957	2.218710289	STX1A	
synapse organization (GO:0050808)	1/126	0.370096713	0.416081783	0	0	2.200222222	2.187000915	AGRN	
phosphatidylinositol biosynthetic process (GO:0006661)	1/126	0.370096713	0.416081783	0	0	2.200222222	2.187000915	IMPA1	
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	1/128	0.374715769	0.420017228	0	0	2.165354331	2.125484722	RAN	
plasma membrane bounded cell projection organization (GO:0120036)	1/128	0.374715769	0.420017228	0	0	2.165354331	2.125484722	HMGB1	
positive regulation of macromolecule biosynthetic process (GO:0010557)	1/129	0.377012753	0.421962113	0	0	2.148328993	2.095643941	HNRNPD	
regulation of response to external stimulus (GO:0032101)	1/130	0.379301414	0.422634068	0	0	2.131567614	2.066393019	TMSB4X	
positive regulation of canonical Wnt signaling pathway (GO:0090263)	1/130	0.379301414	0.422634068	0	0	2.131567614	2.066393019	PSMA1	
regulation of primary metabolic process (GO:0080090)	1/130	0.379301414	0.422634068	0	0	2.131567614	2.066393019	PSMA1	
cellular response to metal ion (GO:0071248)	1/131	0.381581782	0.424545065	0	0	2.115064103	2.037716378	CPNE1	
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	1/133	0.386117758	0.428956267	0	0	2.082807239	1.982026202	DDX5	
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	1/134	0.388373424	0.430824877	0	0	2.067042607	1.954984027	CSPG4	
protein transport (GO:0015031)	2/369	0.391022227	0.43312344	0	0	1.50132402	1.409729554	STX1A;ARCN1	
protein localization to plasma membrane (GO:0072659)	1/136	0.392860261	0.434518491	0	0	2.036213992	1.902437382	EPB41L3	
protein localization to cell periphery (GO:1990778)	1/140	0.401736763	0.443682807	0	0	1.977218225	1.803140422	EPB41L3	
negative regulation of cell population proliferation (GO:0008285)	2/379	0.40390753	0.445425191	0	0	1.460753913	1.324274671	PDCD5;LMNA	
Ras protein signal transduction (GO:0007265)	1/142	0.40612689	0.44628474	0	0	1.948975571	1.756201679	CFL1	
chromatin organization (GO:0006325)	1/142	0.40612689	0.44628474	0	0	1.948975571	1.756201679	RUVBL2	
negative regulation of programmed cell death (GO:0043069)	2/381	0.406469723	0.44628474	0	0	1.4528968	1.307964294	HNRNPK;CFL1	
negative regulation of DNA-binding transcription factor activity (GO:0043433)	1/143	0.408310023	0.44699829	0	0	1.935152582	1.733371383	TMSB4X	
neuron development (GO:0048666)	1/143	0.408310023	0.44699829	0	0	1.935152582	1.733371383	HMGB1	
positive regulation of macromolecule metabolic process (GO:0010604)	2/384	0.410303419	0.448526736	0	0	1.441265393	1.283963306	FUBP1;PDCD5	
positive regulation of intracellular protein transport (GO:0090316)	1/148	0.419107514	0.456821108	0	0	1.868858655	1.62521143	RAN	
positive regulation of transferase activity (GO:0051347)	1/148	0.419107514	0.456821108	0	0	1.868858655	1.62521143	HNRNPD	
positive regulation of hydrolase activity (GO:0051345)	1/149	0.421243575	0.457820441	0	0	1.856137387	1.604712535	AGRN	
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	1/149	0.421243575	0.457820441	0	0	1.856137387	1.604712535	PSMA1	
response to cytokine (GO:0034097)	1/150	0.423371888	0.45880561	0	0	1.843586875	1.584570883	KHSRP	
cellular response to organic cyclic compound (GO:0071407)	1/150	0.423371888	0.45880561	0	0	1.843586875	1.584570883	RUVBL2	
actin filament organization (GO:0007015)	1/152	0.427605381	0.462725708	0	0	1.818984547	1.545326536	DSTN	
positive regulation of Wnt signaling pathway (GO:0030177)	1/153	0.429710617	0.464334782	0	0	1.80692617	1.526208047	PSMA1	
phosphorylation (GO:0016310)	2/400	0.430547457	0.464570604	0	0	1.382192653	1.164770604	ILF3;PKN1	
regulation of signal transduction by p53 class mediator (GO:1901796)	1/156	0.435980611	0.469085156	0	0	1.771684588	1.470777261	RPS20	
peptidyl-serine phosphorylation (GO:0018105)	1/156	0.435980611	0.469085156	0	0	1.771684588	1.470777261	PKN1	
mitotic spindle organization (GO:0007052)	1/157	0.438055461	0.470614924	0	0	1.760238604	1.452918111	RAN	
cellular response to growth factor stimulus (GO:0071363)	1/158	0.440122783	0.470614924	0	0	1.748938429	1.435356459	PDCD5	
skeletal system development (GO:0001501)	1/158	0.440122783	0.470614924	0	0	1.748938429	1.435356459	RPL13	
T cell receptor signaling pathway (GO:0050852)	1/158	0.440122783	0.470614924	0	0	1.748938429	1.435356459	PSMA1	
regulation of cell migration (GO:0030334)	2/408	0.440535675	0.470614924	0	0	1.354402276	1.110290024	TMSB4X;LMNA	
response to lipopolysaccharide (GO:0032496)	1/159	0.442182603	0.471703317	0	0	1.737781294	1.418085757	HMGB1	
positive regulation of protein kinase B signaling (GO:0051897)	1/161	0.446279846	0.475398815	0	0	1.715885417	1.384391909	CPNE1	
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	1/165	0.454385488	0.482664075	0	0	1.673695799	1.320226895	AKAP12	
regulation of neuron projection development (GO:0010975)	1/165	0.454385488	0.482664075	0	0	1.673695799	1.320226895	CFL1	
organelle organization (GO:0006996)	2/420	0.455341657	0.482996588	0	0	1.314711234	1.034292857	YTHDF2;CFL1	
cellular protein-containing complex assembly (GO:0034622)	1/168	0.460387811	0.487660432	0	0	1.643379907	1.274746914	ADRM1	
peptidyl-serine modification (GO:0018209)	1/169	0.462374076	0.489074551	0	0	1.633515212	1.260062642	PKN1	
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	1/171	0.466324997	0.492559877	0	0	1.614133987	1.231378381	PPP5C	
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	1/172	0.468289705	0.493940405	0	0	1.604613385	1.217369064	HMGB1	
positive regulation of cellular biosynthetic process (GO:0031328)	1/180	0.483752667	0.509534717	0	0	1.532278088	1.112712034	HNRNPD	
antigen receptor-mediated signaling pathway (GO:0050851)	1/185	0.493190894	0.518022883	0	0	1.490262681	1.053405545	PSMA1	
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	1/185	0.493190894	0.518022883	0	0	1.490262681	1.053405545	ARCN1	
regulation of mitotic cell cycle phase transition (GO:1901990)	1/188	0.498771924	0.523153233	0	0	1.466131907	1.019850671	PSMA1	
regulation of GTPase activity (GO:0043087)	1/189	0.500618762	0.524358006	0	0	1.458259456	1.008984915	AGRN	
negative regulation of nucleic acid-templated transcription (GO:1903507)	2/464	0.50768507	0.531018784	0	0	1.186817877	0.804536677	SFPQ;ILF3	
negative regulation of macromolecule metabolic process (GO:0010605)	1/194	0.509752754	0.532439941	0	0	1.420120898	0.956919309	CPNE1	
generation of neurons (GO:0048699)	1/202	0.524025538	0.546587748	0	0	1.363045882	0.880820504	YTHDF2	
neutrophil degranulation (GO:0043312)	2/481	0.527038889	0.548968385	0	0	1.143697257	0.732516294	CPNE1;HMGB1	
regulation of inflammatory response (GO:0050727)	1/206	0.531007444	0.552103857	0	0	1.336178862	0.845773478	TMSB4X	
neutrophil activation involved in immune response (GO:0002283)	2/485	0.531519426	0.552103857	0	0	1.13399236	0.716700785	CPNE1;HMGB1	
regulation of protein kinase B signaling (GO:0051896)	1/207	0.532737078	0.552604345	0	0	1.329625135	0.837301197	CPNE1	
neutrophil mediated immunity (GO:0002446)	2/488	0.534861302	0.554042535	0	0	1.126818524	0.705104229	CPNE1;HMGB1	
protein phosphorylation (GO:0006468)	2/496	0.543694877	0.562417153	0	0	1.108114273	0.675248355	ILF3;PKN1	
positive regulation of GTPase activity (GO:0043547)	1/214	0.544669602	0.562650441	0	0	1.285472092	0.781021868	AGRN	
extracellular structure organization (GO:0043062)	1/216	0.548023342	0.565337266	0	0	1.273385013	0.76586137	AGRN	
external encapsulating structure organization (GO:0045229)	1/217	0.549691063	0.56627982	0	0	1.267425412	0.758425923	AGRN	
inflammatory response (GO:0006954)	1/230	0.57082696	0.58724801	0	0	1.194687045	0.669824184	HMGB1	
regulation of ERK1 and ERK2 cascade (GO:0070372)	1/238	0.583344121	0.599304288	0	0	1.153891233	0.621921998	HMGB1	
membrane organization (GO:0061024)	1/242	0.589466974	0.604767346	0	0	1.13450899	0.599629507	EPN1	
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	2/547	0.597292132	0.611959606	0	0	1.001783176	0.51626791	SFPQ;ILF3	
positive regulation of cell differentiation (GO:0045597)	1/258	0.613083363	0.627282841	0	0	1.063013403	0.520083942	CPNE1	
cellular component assembly (GO:0022607)	1/261	0.617359819	0.630798944	0	0	1.050587607	0.506701818	YTHDF2	
positive regulation of MAPK cascade (GO:0043410)	1/274	0.635358735	0.648307622	0	0	0.99989825	0.453519352	HMGB1	
proteolysis (GO:0006508)	1/287	0.652522059	0.664917322	0	0	0.953817016	0.407194341	CPNE1	
regulation of cell cycle (GO:0051726)	1/296	0.663935064	0.675630397	0	0	0.924293785	0.378563864	HNRNPU	
DNA repair (GO:0006281)	1/298	0.666420632	0.677242077	0	0	0.917976057	0.372546104	PPP5C	
extracellular matrix organization (GO:0030198)	1/300	0.668888067	0.678830998	0	0	0.911742847	0.366646943	AGRN	
innate immune response (GO:0045087)	1/302	0.671337499	0.680397384	0	0	0.90559247	0.360863467	HMGB1	
chemical synaptic transmission (GO:0007268)	1/306	0.676182869	0.684384548	0	0	0.893533698	0.34963234	STX1A	
positive regulation of cytokine production (GO:0001819)	1/335	0.709266143	0.716902925	0	0	0.814745509	0.279884999	HMGB1	
positive regulation of multicellular organismal process (GO:0051240)	1/345	0.719882527	0.726655616	0	0	0.7906573	0.25986315	CFL1	
cellular response to DNA damage stimulus (GO:0006974)	1/350	0.725046402	0.730885702	0	0	0.77913085	0.250505858	CBX1	
supramolecular fiber organization (GO:0097435)	1/351	0.726067853	0.730934259	0	0	0.776865079	0.248683685	GFAP	
positive regulation of protein phosphorylation (GO:0001934)	1/371	0.74572856	0.749721752	0	0	0.734121622	0.21538659	CSPG4	
regulation of cell population proliferation (GO:0042127)	2/764	0.77347125	0.776573407	0	0	0.708476581	0.181984097	PDCD5;LMNA	
organelle assembly (GO:0070925)	1/425	0.792126155	0.794241312	0	0	0.638856132	0.148875592	YTHDF2	
positive regulation of cell population proliferation (GO:0008284)	1/474	0.826940923	0.828043511	0	0	0.571235612	0.108547346	HNRNPU	
positive regulation of cellular process (GO:0048522)	1/625	0.901911927	0.901911927	0	0	0.429642984	0.044355657	LMNA	
