"protein_name"	"gene"
"26S proteasome non-ATPase regulatory subunit 2"	"PSMD2"
"Selenium-binding protein 1"	"SELENBP1"
"Serine/arginine-rich splicing factor 9"	"SRSF9"
"Serine/arginine-rich splicing factor 5"	"SRSF5"
"Serine/arginine-rich splicing factor 6"	"SRSF6"
"Transcription intermediary factor 1-beta"	"TRIM28"
"Ras GTPase-activating protein-binding protein 1"	"G3BP1"
"Inactive tyrosine-protein kinase 7"	"PTK7"
"Eukaryotic translation initiation factor 3 subunit I"	"EIF3I"
"C-terminal-binding protein 1"	"CTBP1"
"Ubiquitin-conjugating enzyme E2 variant 1"	"UBE2V1"
"Cytoplasmic dynein 1 intermediate chain 2"	"DYNC1I2"
"NAD(P) transhydrogenase, mitochondrial"	"NNT"
"Splicing factor 3B subunit 2"	"SF3B2"
"28 kDa heat- and acid-stable phosphoprotein"	"PDAP1"
"Phosphatidylinositol-binding clathrin assembly protein;Clathrin coat assembly protein AP180"	"PICALM"
"Metaxin-1"	"MTX1"
"Tubulin beta-3 chain"	"TUBB3"
"Serine/threonine-protein kinase PRP4 homolog"	"PRPF4B"
"Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1"	"PIN1"
"Eukaryotic translation initiation factor 4E-binding protein 2"	"EIF4EBP2"
"Dynactin subunit 2"	"DCTN2"
"NEDD8-activating enzyme E1 regulatory subunit"	"NAE1"
"SNW domain-containing protein 1"	"SNW1"
"Transformer-2 protein homolog alpha"	"TRA2A"
"Sorting nexin-1"	"SNX1"
"KRR1 small subunit processome component homolog"	"KRR1"
"Cullin-1"	"CUL1"
"Cullin-3"	"CUL3"
"Trophoblast glycoprotein"	"TPBG"
"Spliceosome RNA helicase DDX39B"	"DDX39B"
"Bleomycin hydrolase"	"BLMH"
"Exosome complex component RRP4"	"EXOSC2"
"Tubulin beta-2A chain"	"TUBB2A"
"Isopentenyl-diphosphate Delta-isomerase 1"	"IDI1"
"Cytoskeleton-associated protein 5"	"CKAP5"
"Cold-inducible RNA-binding protein"	"CIRBP"
"Coactosin-like protein"	"COTL1"
"Heterogeneous nuclear ribonucleoprotein D0"	"HNRNPD"
"Scaffold attachment factor B2"	"SAFB2"
"Eukaryotic translation initiation factor 3 subunit A"	"EIF3A"
"Malectin"	"MLEC"
"Tubulin--tyrosine ligase-like protein 12"	"TTLL12"
"Dihydropyrimidinase-related protein 1"	"CRMP1"
"Dihydropyrimidinase-related protein 3"	"DPYSL3"
"Cytoplasmic dynein 1 heavy chain 1"	"DYNC1H1"
"Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed"	"EIF4A2"
"Src substrate cortactin"	"CTTN"
"Reticulocalbin-2"	"RCN2"
"Filamin-C"	"FLNC"
"Peptidyl-prolyl cis-trans isomerase FKBP8;Peptidyl-prolyl cis-trans isomerase"	"FKBP8"
"Protein FAM50A"	"FAM50A"
"Protein FRG1"	"FRG1"
"RNA-binding protein 39"	"RBM39"
"DNA replication licensing factor MCM6"	"MCM6"
"ELAV-like protein 3"	"ELAVL3"
"Clathrin interactor 1"	"CLINT1"
"Structural maintenance of chromosomes protein 1A;Structural maintenance of chromosomes protein"	"SMC1A"
"Ribosomal RNA processing protein 1 homolog B"	"RRP1B"
"Ubiquitin carboxyl-terminal hydrolase 10"	"USP10"
"LDLR chaperone MESD"	"MESDC2"
"Neutral alpha-glucosidase AB"	"GANAB"
"LIM and SH3 domain protein 1"	"LASP1"
"Ketimine reductase mu-crystallin"	"CRYM"
"Importin subunit beta-1"	"KPNB1"
"Nuclear mitotic apparatus protein 1"	"NUMA1.1"
"Pre-mRNA-splicing regulator WTAP"	"WTAP"
"26S proteasome non-ATPase regulatory subunit 6"	"PSMD6"
"Septin-2"	"X2.Sep"
"116 kDa U5 small nuclear ribonucleoprotein component"	"EFTUD2"
"Rab3 GTPase-activating protein catalytic subunit"	"RAB3GAP1"
"Lysine--tRNA ligase"	"KARS"
"DNA polymerase delta subunit 3"	"POLD3"
"Eukaryotic translation initiation factor 4H"	"EIF4H"
"Protein disulfide-isomerase A6"	"PDIA6"
"Platelet-activating factor acetylhydrolase IB subunit gamma"	"PAFAH1B3"
"Astrocytic phosphoprotein PEA-15"	"PEA15"
"Phosphomevalonate kinase"	"PMVK"
"Plectin"	"PLEC"
"Inorganic pyrophosphatase"	"PPA1"
"Non-POU domain-containing octamer-binding protein"	"NONO"
"Reticulocalbin-1"	"RCN1"
"Poly(rC)-binding protein 1"	"PCBP1"
"Poly(rC)-binding protein 2"	"PCBP2.2"
"Splicing factor 3B subunit 3"	"SF3B3"
"Calponin-3;Calponin"	"CNN3"
"Scaffold attachment factor B1"	"SAFB"
"Splicing factor 3B subunit 4"	"SF3B4"
"Splicing factor 3A subunit 2"	"SF3A2"
"Splicing factor 3A subunit 1"	"SF3A1"
"Microtubule-associated protein RP/EB family member 2"	"MAPRE2"
"Splicing factor 1"	"SF1"
"Microtubule-associated protein RP/EB family member 1"	"MAPRE1"
"ELAV-like protein 1"	"ELAVL1"
"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating"	"NSDHL"
"TGF-beta-activated kinase 1 and MAP3K7-binding protein 1"	"TAB1"
"Mitochondrial import receptor subunit TOM34"	"TOMM34"
"Ubiquitin-conjugating enzyme E2 variant 2"	"UBE2V2"
"NEDD8"	"NEDD8"
"Ras-related protein Rab-11B;Ras-related protein Rab-11A"	"RAB11B"
"Proteasomal ubiquitin receptor ADRM1"	"ADRM1"
"Coiled-coil domain-containing protein 6"	"CCDC6"
"Alpha-internexin"	"INA"
"26S proteasome non-ATPase regulatory subunit 5"	"PSMD5"
"Cysteine and glycine-rich protein 2"	"CSRP2"
"DNA damage-binding protein 1"	"DDB1"
"Histone-binding protein RBBP7"	"RBBP7"
"Drebrin"	"DBN1"
"Fascin"	"FSCN1"
"2,4-dienoyl-CoA reductase, mitochondrial"	"DECR1"
"Thiosulfate sulfurtransferase"	"TST"
"Reticulon-1;Reticulon"	"RTN1"
"Heterogeneous nuclear ribonucleoprotein U-like protein 2"	"HNRNPUL2"
"Sister chromatid cohesion protein PDS5 homolog A"	"PDS5A"
"Glutamine-rich protein 1"	"QRICH1"
"WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed"	"SMU1"
"Prolyl 3-hydroxylase 1"	"LEPRE1"
"Nucleoside diphosphate kinase;Nucleoside diphosphate kinase B"	"NME1.NME2"
"Inactive hydroxysteroid dehydrogenase-like protein 1"	"HSDL1"
"Tubulin beta-8 chain"	"TUBB8"
"NAD kinase 2, mitochondrial"	"NADK2"
"Prolyl endopeptidase-like"	"PREPL"
"Protein FAM98B"	"FAM98B"
"Programmed cell death protein 4"	"PDCD4"
"Very-long-chain 3-oxoacyl-CoA reductase"	"HSD17B12"
"Putative heat shock protein HSP 90-beta 2"	"HSP90AB2P"
"DBIRD complex subunit ZNF326"	"ZNF326"
"Zinc finger protein 789"	"ZNF789"
"Protein crumbs homolog 2"	"CRB2"
"Crooked neck-like protein 1"	"CRNKL1"
"Alpha-tubulin N-acetyltransferase 1"	"ATAT1"
"Nucleoporin NUP188 homolog"	"NUP188"
"Heterochromatin protein 1-binding protein 3"	"HP1BP3"
"Centrosomal protein of 170 kDa"	"CEP170"
"Zinc finger protein 362"	"ZNF362"
"SH3 domain-binding glutamic acid-rich-like protein 3"	"SH3BGRL3"
"Xaa-Pro aminopeptidase 1"	"XPNPEP1"
"Histone H3"	"HIST2H3PS2"
"Glycerol-3-phosphate acyltransferase 1, mitochondrial"	"GPAM"
"Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain"	"MAP1S"
"Integrator complex subunit 3"	"INTS3"
"Rho GTPase-activating protein 17"	"ARHGAP17"
"Protein virilizer homolog"	"KIAA1429"
"Nucleoredoxin"	"NXN"
"Histone H2A type 2-A;Histone H2A type 2-C"	"HIST2H2AA3"
"Anamorsin"	"CIAPIN1"
"Putative peptidyl-tRNA hydrolase PTRHD1"	"PTRHD1"
"Ragulator complex protein LAMTOR1"	"LAMTOR1"
"Twinfilin-2"	"TWF2"
"Calcium-binding mitochondrial carrier protein SCaMC-1"	"SLC25A24"
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"	"HIBCH"
"Pre-mRNA-processing-splicing factor 8"	"PRPF8"
"Acylpyruvase FAHD1, mitochondrial"	"FAHD1"
"TLD domain-containing protein 1"	"TLDC1"
"POTE ankyrin domain family member E;POTE ankyrin domain family member F;POTE ankyrin domain family member I"	"POTEE"
"WD repeat-containing protein 82"	"WDR82"
"Hydroxysteroid dehydrogenase-like protein 2"	"HSDL2"
"Tubulin alpha-1A chain"	"TUBA1A"
"Transcription elongation factor SPT6"	"SUPT6H"
"Staphylococcal nuclease domain-containing protein 1"	"SND1"
"Protein RUFY3"	"RUFY3"
"Mitochondrial ribonuclease P protein 1"	"TRMT10C"
"Eukaryotic translation initiation factor 3 subunit M"	"EIF3M"
"EPM2A-interacting protein 1"	"EPM2AIP1"
"MOB kinase activator 1B;MOB kinase activator 1A"	"MOB1B"
"Lysine-specific demethylase 3B"	"KDM3B"
"Class A basic helix-loop-helix protein 15"	"BHLHA15"
"PHD finger-like domain-containing protein 5A"	"PHF5A"
"Nucleoporin p54"	"NUP54"
"Pogo transposable element with ZNF domain"	"POGZ"
"Myosin-14"	"MYH14"
"KDEL motif-containing protein 2"	"KDELC2"
"Hepatoma-derived growth factor-related protein 2"	"HDGFRP2"
"E3 ubiquitin-protein ligase HUWE1"	"HUWE1"
"Centromere protein V"	"CENPV"
"Polyadenylate-binding protein 2"	"PABPN1"
"Protein LYRIC"	"MTDH"
"Kinectin"	"KTN1"
"THO complex subunit 4"	"ALYREF"
"Cullin-associated NEDD8-dissociated protein 1"	"CAND1"
"Protein Hook homolog 3"	"HOOK3"
"Histone-arginine methyltransferase CARM1"	"CARM1"
"Nitrilase homolog 1"	"NIT1"
"ATP-dependent RNA helicase DDX42"	"DDX42"
"Transcriptional repressor p66-alpha"	"GATAD2A"
"Histone H2A type 2-B"	"HIST2H2AB"
"Phospholipase D3"	"PLD3"
"Calcium homeostasis endoplasmic reticulum protein"	"CHERP"
"Cell division cycle and apoptosis regulator protein 1"	"CCAR1"
"DnaJ homolog subfamily C member 10"	"DNAJC10"
"REST corepressor 2"	"RCOR2"
"Cell cycle and apoptosis regulator protein 2"	"CCAR2"
"Nuclear pore complex protein Nup93"	"NUP93"
"Leucine-rich repeat-containing protein 47"	"LRRC47"
"39S ribosomal protein L50, mitochondrial"	"MRPL50"
"Cleavage and polyadenylation specificity factor subunit 7"	"CPSF7"
"ER membrane protein complex subunit 1"	"EMC1"
"RNA polymerase II-associated factor 1 homolog"	"PAF1"
"Putative E3 ubiquitin-protein ligase UBR7"	"UBR7"
"Pre-mRNA-splicing factor 38A"	"PRPF38A"
"Procollagen galactosyltransferase 1"	"COLGALT1"
"Prenylcysteine oxidase-like"	"PCYOX1L"
"Thioredoxin domain-containing protein 5"	"TXNDC5"
"Plasminogen activator inhibitor 1 RNA-binding protein"	"SERBP1"
"Protein LSM14 homolog A"	"LSM14A"
"MAPK-interacting and spindle-stabilizing protein-like"	"MAPK1IP1L"
"Putative RNA-binding protein 15B"	"RBM15B"
"ATP-binding cassette sub-family F member 1"	"ABCF1"
"Nucleoporin Nup43"	"NUP43"
"N-acylneuraminate cytidylyltransferase"	"CMAS"
"Anaphase-promoting complex subunit CDC26"	"CDC26"
"Nuclear protein localization protein 4 homolog"	"NPLOC4"
"NEDD8-activating enzyme E1 catalytic subunit"	"UBA3"
"Retinol dehydrogenase 11"	"RDH11"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B"	"STT3B"
"Nuclear pore membrane glycoprotein 210"	"NUP210"
"Nucleolar complex protein 3 homolog"	"NOC3L"
"Peptidyl-prolyl cis-trans isomerase-like 4"	"PPIL4"
"PHD finger protein 10"	"PHF10"
"Nuclear pore complex protein Nup133"	"NUP133"
"Programmed cell death 6-interacting protein"	"PDCD6IP"
"NudC domain-containing protein 2"	"NUDCD2"
"Sec1 family domain-containing protein 1"	"SCFD1"
"Ubiquitin-like domain-containing CTD phosphatase 1"	"UBLCP1"
"PEST proteolytic signal-containing nuclear protein"	"PCNP"
"Ataxin-2-like protein"	"ATXN2L"
"PH-interacting protein"	"PHIP"
"Splicing regulatory glutamine/lysine-rich protein 1"	"SREK1.1"
"Paraspeckle component 1"	"PSPC1"
"Nesprin-2"	"SYNE2"
"DnaJ homolog subfamily C member 9"	"DNAJC9"
"Protein LZIC"	"LZIC"
"Immunity-related GTPase family Q protein"	"IRGQ"
"Histone H1x"	"H1FX"
"T-complex protein 1 subunit zeta-2"	"CCT6B"
"Heat shock protein 105 kDa"	"HSPH1"
"Translational activator GCN1"	"GCN1L1"
"Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16"	"DHX38"
"Nuclear pore complex protein Nup205"	"NUP205"
"Acidic leucine-rich nuclear phosphoprotein 32 family member B"	"ANP32B"
"Protein TFG"	"TFG"
"Actin-related protein 2/3 complex subunit 1A"	"ARPC1A"
"Histone deacetylase 2;Histone deacetylase 1"	"HDAC2"
"Signal transducing adapter molecule 1;Signal transducing adapter molecule 2"	"STAM"
"Gamma-glutamyl hydrolase"	"GGH"
"Golgi apparatus protein 1"	"GLG1"
"Regulator of nonsense transcripts 1"	"UPF1"
"COP9 signalosome complex subunit 5"	"COPS5"
"SWI/SNF complex subunit SMARCC1"	"SMARCC1"
"Far upstream element-binding protein 2"	"KHSRP"
"Glutaryl-CoA dehydrogenase, mitochondrial"	"GCDH"
"Transportin-1"	"TNPO1"
"Probable ubiquitin carboxyl-terminal hydrolase FAF-X;Probable ubiquitin carboxyl-terminal hydrolase FAF-Y"	"USP9X"
"Cullin-5"	"CUL5"
"Protein mago nashi homolog 2"	"MAGOHB"
"Isochorismatase domain-containing protein 2, mitochondrial"	"ISOC2"
"Leucine-rich repeat-containing protein 59"	"LRRC59"
"Ribulose-phosphate 3-epimerase;Ribulose-phosphate 3-epimerase-like protein 1"	"RPE"
"Peptidyl-prolyl cis-trans isomerase FKBP10;Peptidyl-prolyl cis-trans isomerase"	"FKBP10"
"ADP-ribosylation factor-like protein 8A"	"ARL8A"
"Aldose 1-epimerase"	"GALM"
"Protein phosphatase 1 regulatory subunit 14B"	"PPP1R14B"
"Acyl-CoA synthetase family member 2, mitochondrial"	"ACSF2"
"Isochorismatase domain-containing protein 1"	"ISOC1"
"FAS-associated factor 2"	"FAF2"
"Coiled-coil domain-containing protein 124"	"CCDC124"
"BTB/POZ domain-containing protein KCTD12"	"KCTD12"
"U8 snoRNA-decapping enzyme"	"NUDT16"
"Carboxymethylenebutenolidase homolog"	"CMBL"
"U5 small nuclear ribonucleoprotein 40 kDa protein"	"SNRNP40"
"Dynein light chain 2, cytoplasmic"	"DYNLL2"
"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1"	"SMARCD1"
"Zinc finger CCCH-type antiviral protein 1-like"	"ZC3HAV1L"
"PDZ and LIM domain protein 5"	"PDLIM5"
"ERO1-like protein alpha"	"ERO1L"
"Far upstream element-binding protein 3"	"FUBP3"
"Splicing factor 45"	"RBM17"
"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial"	"SUCLG2"
"Up-regulated during skeletal muscle growth protein 5"	"USMG5"
"Chromosome alignment-maintaining phosphoprotein 1"	"CHAMP1"
"Transcription factor BTF3 homolog 4;Transcription factor BTF3"	"BTF3L4"
"Ubiquitin carboxyl-terminal hydrolase 47"	"USP47"
"Cytosolic non-specific dipeptidase"	"CNDP2"
"Protein PRRC1"	"PRRC1"
"Dynein heavy chain domain-containing protein 1"	"DNHD1"
"Importin-9"	"IPO9"
"RNA-binding protein 14"	"RBM14"
"E3 ubiquitin-protein ligase UHRF2"	"UHRF2"
"Protein quaking"	"QKI"
"CCA tRNA nucleotidyltransferase 1, mitochondrial"	"TRNT1"
"Kinesin-like protein KIF20B"	"KIF20B"
"Serine/threonine-protein phosphatase 1 regulatory subunit 10"	"PPP1R10"
"Vacuolar protein sorting-associated protein 35"	"VPS35"
"Glutathione peroxidase 7"	"GPX7"
"Paired amphipathic helix protein Sin3a"	"SIN3A"
"Remodeling and spacing factor 1"	"RSF1"
"Tubulin-folding cofactor B"	"TBCB"
"Proteasome subunit beta type-7"	"PSMB7"
"Cell division cycle 5-like protein"	"CDC5L"
"Prefoldin subunit 5"	"PFDN5"
"E3 ubiquitin-protein ligase RING2"	"RNF2"
"Protein deglycase DJ-1"	"PARK7"
"Synaptic vesicle membrane protein VAT-1 homolog"	"VAT1"
"Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein"	"EIF3C"
"Prohibitin-2"	"PHB2"
"3-hydroxyacyl-CoA dehydrogenase type-2"	"HSD17B10"
"Nucleosome assembly protein 1-like 4"	"NAP1L4"
"T-complex protein 1 subunit eta"	"CCT7"
"Endophilin-A2"	"SH3GL1"
"Serine/threonine-protein kinase VRK1"	"VRK1"
"Dihydropyrimidinase-related protein 5"	"DPYSL5"
"Protein NipSnap homolog 1"	"NIPSNAP1"
"ATP-dependent RNA helicase DDX50"	"DDX50"
"O-acetyl-ADP-ribose deacetylase MACROD1"	"MACROD1"
"Methylosome protein 50"	"WDR77"
"Coronin-1B;Coronin"	"CORO1B"
"Thioredoxin domain-containing protein 17"	"TXNDC17"
"Vacuolar protein-sorting-associated protein 25"	"VPS25"
"Redox-regulatory protein FAM213A"	"FAM213A"
"Endoplasmic reticulum resident protein 44"	"ERP44"
"Extended synaptotagmin-1"	"ESYT1"
"Protein canopy homolog 3"	"CNPY3"
"Acidic leucine-rich nuclear phosphoprotein 32 family member E"	"ANP32E"
"Transmembrane protein 43"	"TMEM43"
"Tubulin beta-6 chain"	"TUBB6"
"Protein PAXX"	"C9orf142"
"Probable ATP-dependent RNA helicase DDX23"	"DDX23"
"3-hydroxybutyrate dehydrogenase type 2"	"BDH2"
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	"ADI1"
"N-terminal Xaa-Pro-Lys N-methyltransferase 1;N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed"	"NTMT1"
"Tubulin beta-2B chain"	"TUBB2B"
"Transmembrane protein 109"	"TMEM109"
"Protein PBDC1"	"PBDC1"
"Transmembrane emp24 domain-containing protein 9"	"TMED9"
"Tubulin polymerization-promoting protein family member 3"	"TPPP3"
"Acetyl-CoA acetyltransferase, cytosolic"	"ACAT2"
"RNA-binding protein 4"	"RBM4"
"Splicing factor 3B subunit 5"	"SF3B5"
"Protein LSM14 homolog B"	"LSM14B"
"Histidine triad nucleotide-binding protein 2, mitochondrial"	"HINT2"
"Serrate RNA effector molecule homolog"	"SRRT"
"Cat eye syndrome critical region protein 5"	"CECR5"
"Inosine triphosphate pyrophosphatase"	"ITPA"
"YTH domain-containing family protein 1;YTH domain-containing family protein 3"	"YTHDF1"
"Oxysterol-binding protein-related protein 8;Oxysterol-binding protein"	"OSBPL8"
"F-box-like/WD repeat-containing protein TBL1XR1"	"TBL1XR1"
"Protein dpy-30 homolog"	"DPY30"
"182 kDa tankyrase-1-binding protein"	"TNKS1BP1"
"E2/E3 hybrid ubiquitin-protein ligase UBE2O"	"UBE2O"
"Protein lunapark"	"LNP"
"Ribosome biogenesis protein WDR12"	"WDR12"
"UPF0687 protein C20orf27"	"C20orf27"
"PITH domain-containing protein 1"	"PITHD1"
"WD repeat-containing protein 61;WD repeat-containing protein 61, N-terminally processed"	"WDR61"
"Serine racemase"	"SRR"
"Integrin-linked kinase-associated serine/threonine phosphatase 2C"	"ILKAP"
"5-3 exoribonuclease 2"	"XRN2"
"Ras-related protein Rab-1B"	"RAB1B"
"Interferon regulatory factor 2-binding protein-like"	"IRF2BPL"
"Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1"	"NUCKS1"
"Thioredoxin-related transmembrane protein 4"	"TMX4"
"Rab3 GTPase-activating protein non-catalytic subunit"	"RAB3GAP2"
"Activity-dependent neuroprotector homeobox protein"	"ADNP"
"Inorganic pyrophosphatase 2, mitochondrial"	"PPA2"
"Pinin"	"PNN"
"BolA-like protein 2"	"BOLA2"
"Thioredoxin-related transmembrane protein 1"	"TMX1"
"Cdc42 effector protein 4"	"CDC42EP4"
"Charged multivesicular body protein 4b"	"CHMP4B"
"GDP-fucose protein O-fucosyltransferase 1"	"POFUT1"
"dCTP pyrophosphatase 1"	"DCTPP1"
"Acyl-CoA dehydrogenase family member 9, mitochondrial"	"ACAD9"
"5-nucleotidase domain-containing protein 2"	"NT5DC2"
"Golgi reassembly-stacking protein 2"	"GORASP2"
"Leucine-rich repeat-containing protein 40"	"LRRC40"
"Sideroflexin-1"	"SFXN1"
"Protein argonaute-3;Protein argonaute-2;Protein argonaute;Protein argonaute-1"	"AGO3"
"Exportin-5"	"XPO5"
"GrpE protein homolog 1, mitochondrial"	"GRPEL1"
"UPF0160 protein MYG1, mitochondrial"	"C12orf10"
"Calcyclin-binding protein"	"CACYBP"
"Synaptic vesicle membrane protein VAT-1 homolog-like"	"VAT1L"
"Transmembrane 9 superfamily member 3"	"TM9SF3"
"Adipocyte plasma membrane-associated protein"	"APMAP"
"High mobility group protein 20A"	"HMG20A"
"Ras-related protein Rab-18"	"RAB18"
"RNA polymerase II subunit A C-terminal domain phosphatase SSU72"	"SSU72"
"Dynein light chain roadblock-type 1;Dynein light chain roadblock-type 2"	"DYNLRB1"
"Transcription and mRNA export factor ENY2"	"ENY2"
"Exosome complex component RRP41"	"EXOSC4"
"Inositol-3-phosphate synthase 1"	"ISYNA1"
"Acyl-coenzyme A thioesterase 13;Acyl-coenzyme A thioesterase 13, N-terminally processed"	"ACOT13"
"Putative RNA-binding protein Luc7-like 1"	"LUC7L"
"Leucine zipper transcription factor-like protein 1"	"LZTFL1"
"Fructose-2,6-bisphosphatase TIGAR"	"TIGAR"
"Reticulon-4"	"RTN4"
"Regulation of nuclear pre-mRNA domain-containing protein 1B"	"RPRD1B"
"Omega-amidase NIT2"	"NIT2"
"Nucleolar RNA helicase 2"	"DDX21"
"GTP-binding protein SAR1a"	"SAR1A"
"Sialic acid synthase"	"NANS"
"CTP synthase 2"	"CTPS2"
"DNA polymerase epsilon subunit 3"	"POLE3"
"L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"AASDHPPT"
"Ubiquilin-4"	"UBQLN4"
"14 kDa phosphohistidine phosphatase"	"PHPT1"
"Phenylalanine--tRNA ligase beta subunit"	"FARSB"
"Isoleucine--tRNA ligase, mitochondrial"	"IARS2"
"Sister chromatid cohesion protein PDS5 homolog B"	"PDS5B"
"RNA-binding protein 12"	"RBM12"
"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"	"ABHD10"
"ATP-dependent RNA helicase DDX19A;ATP-dependent RNA helicase DDX19B"	"DDX19A"
"TBC1 domain family member 13"	"TBC1D13"
"ATPase family AAA domain-containing protein 3A;ATPase family AAA domain-containing protein 3C"	"ATAD3A"
"ADP-ribosylation factor-like protein 8B"	"ARL8B"
"ATP-dependent RNA helicase DDX18"	"DDX18"
"Pre-mRNA-splicing factor RBM22"	"RBM22"
"SAFB-like transcription modulator"	"SLTM"
"UPF0587 protein C1orf123"	"C1orf123"
"UPF0609 protein C4orf27"	"C4orf27"
"OCIA domain-containing protein 1"	"OCIAD1"
"Poly(ADP-ribose) glycohydrolase ARH3"	"ADPRHL2"
"Testis-expressed sequence 10 protein"	"TEX10"
"THUMP domain-containing protein 1"	"THUMPD1"
"H/ACA ribonucleoprotein complex subunit 1"	"GAR1"
"Telomeric repeat-binding factor 2-interacting protein 1"	"TERF2IP"
"Bcl-2-associated transcription factor 1"	"BCLAF1"
"39S ribosomal protein L39, mitochondrial"	"MRPL39"
"UDP-glucose:glycoprotein glucosyltransferase 1"	"UGGT1"
"Insulin-like growth factor 2 mRNA-binding protein 1"	"IGF2BP1"
"Hsp70-binding protein 1"	"HSPBP1"
"Methionine adenosyltransferase 2 subunit beta"	"MAT2B"
"Spliceosome-associated protein CWC15 homolog"	"CWC15"
"39S ribosomal protein L15, mitochondrial"	"MRPL15"
"Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3"	"HACD3"
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13"	"NDUFA13"
"Vesicle-associated membrane protein-associated protein A"	"VAPA"
"Core histone macro-H2A.2;Histone H2A"	"H2AFY2"
"Costars family protein ABRACL"	"ABRACL"
"Protein RCC2"	"RCC2"
"Ribosome-binding protein 1"	"RRBP1"
"Cleavage and polyadenylation specificity factor subunit 2"	"CPSF2"
"Leucine--tRNA ligase, cytoplasmic"	"LARS"
"Rabankyrin-5"	"ANKFY1"
"Ataxin-10"	"ATXN10"
"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed"	"SAE1"
"Coatomer subunit gamma-2"	"COPG2"
"COMM domain-containing protein 3"	"COMMD3"
"7-dehydrocholesterol reductase"	"DHCR7"
"Glyoxylate reductase/hydroxypyruvate reductase"	"GRHPR"
"DnaJ homolog subfamily B member 11"	"DNAJB11"
"SUMO-activating enzyme subunit 2"	"UBA2"
"Peflin"	"PEF1"
"CAP-Gly domain-containing linker protein 2"	"CLIP2"
"Craniofacial development protein 1"	"CFDP1"
"Gamma-adducin"	"ADD3"
"Translocation protein SEC63 homolog"	"SEC63"
"SUN domain-containing protein 2"	"SUN2"
"Ragulator complex protein LAMTOR3"	"LAMTOR3"
"Signal recognition particle subunit SRP68"	"SRP68"
"Cysteine and histidine-rich domain-containing protein 1"	"CHORDC1"
"Septin-9"	"X9.Sep"
"Ubiquilin-2"	"UBQLN2"
"Prenylcysteine oxidase 1"	"PCYOX1"
"Prefoldin subunit 2"	"PFDN2"
"Transgelin-3"	"TAGLN3"
"Tyrosine-protein kinase BAZ1B"	"BAZ1B"
"ATPase inhibitor, mitochondrial"	"ATPIF1"
"GTP:AMP phosphotransferase AK3, mitochondrial"	"AK3"
"Calcium-binding mitochondrial carrier protein Aralar2"	"SLC25A13"
"Drebrin-like protein"	"DBNL"
"Stomatin-like protein 2, mitochondrial"	"STOML2"
"Polypyrimidine tract-binding protein 2"	"PTBP2"
"mRNA turnover protein 4 homolog"	"MRTO4"
"Cleavage and polyadenylation specificity factor subunit 3"	"CPSF3"
"DCC-interacting protein 13-alpha"	"APPL1"
"RNA-binding protein Raly"	"RALY"
"Nuclear pore complex protein Nup50"	"NUP50"
"Protein CDV3 homolog"	"CDV3"
"Ras-related protein Rab-21"	"RAB21"
"Coronin-1C;Coronin"	"CORO1C"
"Pre-mRNA-processing factor 19"	"PRPF19"
"Ubiquilin-1"	"UBQLN1"
"Ras GTPase-activating protein-binding protein 2"	"G3BP2"
"E3 ubiquitin-protein ligase CHIP"	"STUB1"
"Melanoma-associated antigen D2"	"MAGED2"
"26S proteasome non-ATPase regulatory subunit 13"	"PSMD13"
"COP9 signalosome complex subunit 3"	"COPS3"
"Multiple inositol polyphosphate phosphatase 1"	"MINPP1"
"RNA-binding protein Nova-2"	"NOVA2"
"WD repeat-containing protein 3"	"WDR3"
"NSFL1 cofactor p47"	"NSFL1C"
"E3 ubiquitin-protein ligase TRIM33"	"TRIM33"
"Serine/arginine repetitive matrix protein 2"	"SRRM2"
"Proliferation-associated protein 2G4"	"PA2G4"
"Structural maintenance of chromosomes protein 3"	"SMC3"
"UPF0568 protein C14orf166"	"C14orf166"
"RuvB-like 2"	"RUVBL2"
"RuvB-like 1"	"RUVBL1"
"Nuclear migration protein nudC"	"NUDC"
"Voltage-dependent anion-selective channel protein 3"	"VDAC3"
"Cofilin-2"	"CFL2"
"Histone chaperone ASF1A"	"ASF1A"
